shard_id,year,month,family,query,query_slug,start_ts,end_ts,start_date,end_date
broad_ai-2015-01-artificial-intelligence,2015,01,broad_ai,artificial intelligence,artificial-intelligence,1420070400,1422748800,2015-01-01,2015-02-01
broad_ai-2015-01-machine-learning,2015,01,broad_ai,machine learning,machine-learning,1420070400,1422748800,2015-01-01,2015-02-01
broad_ai-2015-01-deep-learning,2015,01,broad_ai,deep learning,deep-learning,1420070400,1422748800,2015-01-01,2015-02-01
broad_ai-2015-01-neural-network,2015,01,broad_ai,neural network,neural-network,1420070400,1422748800,2015-01-01,2015-02-01
foundation_models-2015-01-gpt,2015,01,foundation_models,gpt,gpt,1420070400,1422748800,2015-01-01,2015-02-01
foundation_models-2015-01-llm,2015,01,foundation_models,llm,llm,1420070400,1422748800,2015-01-01,2015-02-01
foundation_models-2015-01-chatgpt,2015,01,foundation_models,chatgpt,chatgpt,1420070400,1422748800,2015-01-01,2015-02-01
foundation_models-2015-01-openai,2015,01,foundation_models,openai,openai,1420070400,1422748800,2015-01-01,2015-02-01
foundation_models-2015-01-claude,2015,01,foundation_models,claude,claude,1420070400,1422748800,2015-01-01,2015-02-01
foundation_models-2015-01-gemini,2015,01,foundation_models,gemini,gemini,1420070400,1422748800,2015-01-01,2015-02-01
doomer-2015-01-ai-safety,2015,01,doomer,ai safety,ai-safety,1420070400,1422748800,2015-01-01,2015-02-01
doomer-2015-01-alignment,2015,01,doomer,alignment,alignment,1420070400,1422748800,2015-01-01,2015-02-01
doomer-2015-01-misalignment,2015,01,doomer,misalignment,misalignment,1420070400,1422748800,2015-01-01,2015-02-01
doomer-2015-01-existential-risk,2015,01,doomer,existential risk,existential-risk,1420070400,1422748800,2015-01-01,2015-02-01
doomer-2015-01-x-risk,2015,01,doomer,x-risk,x-risk,1420070400,1422748800,2015-01-01,2015-02-01
doomer-2015-01-p-doom,2015,01,doomer,p(doom),p-doom,1420070400,1422748800,2015-01-01,2015-02-01
accelerationist-2015-01-e-acc,2015,01,accelerationist,e/acc,e-acc,1420070400,1422748800,2015-01-01,2015-02-01
accelerationist-2015-01-accelerationism,2015,01,accelerationist,accelerationism,accelerationism,1420070400,1422748800,2015-01-01,2015-02-01
accelerationist-2015-01-techno-optimism,2015,01,accelerationist,techno-optimism,techno-optimism,1420070400,1422748800,2015-01-01,2015-02-01
accelerationist-2015-01-abundance-agenda,2015,01,accelerationist,abundance agenda,abundance-agenda,1420070400,1422748800,2015-01-01,2015-02-01
accelerationist-2015-01-abundance,2015,01,accelerationist,abundance,abundance,1420070400,1422748800,2015-01-01,2015-02-01
broad_ai-2015-02-artificial-intelligence,2015,02,broad_ai,artificial intelligence,artificial-intelligence,1422748800,1425168000,2015-02-01,2015-03-01
broad_ai-2015-02-machine-learning,2015,02,broad_ai,machine learning,machine-learning,1422748800,1425168000,2015-02-01,2015-03-01
